ProductId,Country,Score,DealerPrice,Markup,ListPrice,Province,Region_1,Region_2,Title,Vintage,Variety,Winery,Year
44578,Italy,95,42,1.4,59,Tuscany,Brunello di Montalcino,,Le Chiuse 2011  Brunello di Montalcino,2011,Sangiovese,Le Chiuse,2011
44580,Italy,95,207,1.4,290,Tuscany,Brunello di Montalcino,,Poggio di Sotto 2011  Brunello di Montalcino,2011,Sangiovese,Poggio di Sotto,2011
44584,Italy,95,92,1.4,130,Tuscany,Brunello di Montalcino,,Uccelliera 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Uccelliera,2010
44585,Italy,95,107,1.4,150,Tuscany,Brunello di Montalcino,,Il Marroneto 2011 Madonna delle Grazie  (Brunello di Montalcino),2011,Sangiovese,Il Marroneto,2011
44587,Italy,95,121,1.4,170,Tuscany,Brunello di Montalcino,,Il Palazzone 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Il Palazzone,2010
44592,Italy,95,35,1.4,50,Tuscany,Brunello di Montalcino,,Capanna 2011  Brunello di Montalcino,2011,Sangiovese,Capanna,2011
44594,Italy,95,40,1.4,56,Tuscany,Brunello di Montalcino,,Gianni Brunelli 2011  Brunello di Montalcino,2011,Sangiovese,Gianni Brunelli,2011
44596,Italy,95,57,1.4,80,Tuscany,Brunello di Montalcino,,Lisini 2011  Brunello di Montalcino,2011,Sangiovese,Lisini,2011
44597,Italy,95,78,1.4,110,Tuscany,Brunello di Montalcino,,Livio Sassetti 2010 Pertimali Riserva  (Brunello di Montalcino),2010,Sangiovese,Livio Sassetti,2010
44598,Italy,95,60,1.4,85,Tuscany,Brunello di Montalcino,,Mocali 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Mocali,2010
44994,Italy,99,440,1.35,595,Piedmont,Barolo,,Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),2008,Nebbiolo,Mascarello Giuseppe e Figlio,2008
44999,Italy,96,100,1.3,131,Piedmont,Barolo,,Luigi Oddero & Figli 2008 Vigna Rionda  (Barolo),2008,Nebbiolo,Luigi Oddero & Figli,2008
45002,Italy,96,114,1.3,149,Piedmont,Barolo,,Rivetto 2010 Briccolina  (Barolo),2010,Nebbiolo,Rivetto,2010
45004,Italy,96,60,1.3,79,Piedmont,Barolo,,Attilio Ghisolfi 2011 Bussia Bricco Visette  (Barolo),2011,Nebbiolo,Attilio Ghisolfi,2011
45006,Italy,96,126,1.3,165,Piedmont,Barolo,,Sandrone 2011 Cannubi Boschis  (Barolo),2011,Nebbiolo,Sandrone,2011
45573,Italy,99,129,1.35,175,Piedmont,Barolo,,Mascarello Giuseppe e Figlio 2010 Monprivato  (Barolo),2010,Nebbiolo,Mascarello Giuseppe e Figlio,2010
45582,Italy,95,32,1.4,46,Piedmont,Barolo,,Guido Porro 2011 Lazzairasco  (Barolo),2011,Nebbiolo,Guido Porro,2011
45586,Italy,95,53,1.4,75,Tuscany,Montecucco,,Amantis 2007 Riserva  (Montecucco),2007,Sangiovese,Amantis,2007
45781,Italy,100,407,1.35,550,Tuscany,Brunello di Montalcino,,Biondi Santi 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Biondi Santi,2010
45782,Italy,98,146,1.3,190,Tuscany,Brunello di Montalcino,,Conti Costanti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Conti Costanti,2010
45783,Italy,98,92,1.3,120,Tuscany,Brunello di Montalcino,,Baricci 2010 Nello Riserva  (Brunello di Montalcino),2010,Sangiovese,Baricci,2010
45785,Italy,97,346,1.3,450,Tuscany,Brunello di Montalcino,,Poggio di Sotto 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Poggio di Sotto,2010
45786,Italy,97,223,1.3,290,Tuscany,Brunello di Montalcino,,Poggio di Sotto 2010  Brunello di Montalcino,2010,Sangiovese,Poggio di Sotto,2010
45787,Italy,97,76,1.3,100,Tuscany,Brunello di Montalcino,,Gianni Brunelli 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Gianni Brunelli,2010
45789,Italy,97,53,1.3,70,Tuscany,Brunello di Montalcino,,Le Potazzine 2011  Brunello di Montalcino,2011,Sangiovese,Le Potazzine,2011
45790,Italy,97,107,1.3,140,Tuscany,Brunello di Montalcino,,Ciacci Piccolomini d'Aragona 2010 Vigna di Pianrosso Santa Caterina d'Oro Riserva  (Brunello di Montalcino),2010,Sangiovese,Ciacci Piccolomini d'Aragona,2010
45794,Italy,96,68,1.3,89,Tuscany,Brunello di Montalcino,,Terralsole 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Terralsole,2010
45795,Italy,96,150,1.3,195,Tuscany,Brunello di Montalcino,,Fuligni 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Fuligni,2010
45796,Italy,96,88,1.3,115,Tuscany,Brunello di Montalcino,,Padelletti 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Padelletti,2010
45797,Italy,96,100,1.3,130,Tuscany,Brunello di Montalcino,,Canalicchio di Sopra 2010 Riserva  (Brunello di Montalcino),2010,Sangiovese,Canalicchio di Sopra,2010
45801,Italy,97,153,1.3,200,Tuscany,Bolgheri Superiore,,Tenuta dell'Ornellaia 2006 Ornellaia  (Bolgheri Superiore),2006,Red Blend,Tenuta dell'Ornellaia,2006
45811,Italy,95,85,1.4,120,Tuscany,Toscana,,Fattoria Petrolo 2006 Galatrona Merlot (Toscana),2006,Merlot,Fattoria Petrolo,2006
45991,Italy,97,73,1.3,96,Piedmont,Barolo,,Brovia 2013 Rocche di Castiglione  (Barolo),2013,Nebbiolo,Brovia,2013
45995,Italy,96,146,1.3,190,Piedmont,Barolo,,Paolo Scavino 2011 Rocche dell'Annunziata Riserva  (Barolo),2011,Nebbiolo,Paolo Scavino,2011
47899,Italy,96,61,1.3,80,Central Italy,Montefalco Sagrantino,,Milziade Antano 2010 Colleallodole  (Montefalco Sagrantino),2010,Sagrantino,Milziade Antano,2010
47908,Italy,95,71,1.4,100,Central Italy,Montefalco Sagrantino,,Arnaldo Caprai 2010 25 Anni  (Montefalco Sagrantino),2010,Sagrantino,Arnaldo Caprai,2010
47912,Italy,95,42,1.4,60,Central Italy,Montefalco Sagrantino,,Cantina Fratelli Pardi 2010 Sacrantino  (Montefalco Sagrantino),2010,Sagrantino,Cantina Fratelli Pardi,2010
